Title,Model,Code Type,LOC,Errors,options remain unchanged,trailing-whitespace,undefined-variable,redefined-builtin,wildcard-import,return-outside-function,bad-continuation,used-before-assignment,too-many-locals,missing-docstring,too-few-public-methods,invalid-name,pointless-statement,blacklisted-name,trailing-comma-tuple,parse-error,unused-import,bare-except,anomalous-backslash-in-string,unused-argument,trailing-newlines,no-self-use,import-error,redefined-outer-name,relative-beyond-top-level,line-too-long,syntax-error,too-many-arguments,bad-whitespace,Other Errors
dummy,https://raw.githubusercontent.com/LindseyB/dummy/trunk/make_commits.py,python,31,"{'line-too-long': 1, '': 6, 'bad-whitespace': 7, 'bad-continuation': 16, 'trailing-whitespace': 1, 'mixed-indentation': 2, 'missing-docstring': 1}",0,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8
crypto-market-raw-data,https://raw.githubusercontent.com/crypto-crawler/crypto-market-raw-data/main/market-crawler.py,python,62,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rail,https://raw.githubusercontent.com/LSSTDESC/rail/main/setup.py,python,4,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-studio-projects-2024,https://raw.githubusercontent.com/jsoma/data-studio-projects-2024/main/ai_editor.py,python,115,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petkitaio,https://raw.githubusercontent.com/RobertD502/petkitaio/main/setup.py,python,32,"{'line-too-long': 1, 'bad-whitespace': 1, 'bad-continuation': 2, 'missing-docstring': 1}",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
hive-agent-py,https://raw.githubusercontent.com/hivenetwork-ai/hive-agent-py/main/setup.py,python,20,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bypass-virus-total,https://raw.githubusercontent.com/Lawxsz/bypass-virus-total/main/kerpy.py,python,124,"{'trailing-whitespace': 12, 'line-too-long': 3, 'bad-indentation': 43, 'missing-docstring': 1}",0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,43
chakra,https://raw.githubusercontent.com/mlcommons/chakra/main/setup.py,python,10,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paper-list,https://raw.githubusercontent.com/isLinXu/paper-list/main/get_paper.py,python,94,"{'fixme': 3, 'bad-whitespace': 1, 'line-too-long': 2, 'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5
OG-USA,https://raw.githubusercontent.com/PSLmodels/OG-USA/master/setup.py,python,58,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWIApi,https://raw.githubusercontent.com/holychikenz/MWIApi/main/GenerateMedian.py,python,32,"{'""file:market.db?mode=ro"",uri=True': 1, 'bad-whitespace': 1, 'missing-docstring': 2, 'invalid-name': 1}",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
farmrpg-wiki-archive,https://raw.githubusercontent.com/coderanger/farmrpg-wiki-archive/main/main.py,python,107,"{'fixme': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
imps,https://raw.githubusercontent.com/cpmpercussion/imps/master/start_impsy.py,python,12,{'import-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pypi,https://raw.githubusercontent.com/getsentry/pypi/main/validate.py,python,176,"{'bad-continuation': 5, 'missing-docstring': 1}",0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pypi,https://raw.githubusercontent.com/getsentry/pypi/main/upgrade_all.py,python,39,"{'argv: Sequence[str] | None = None': 1, 'bad-whitespace': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rq-dashboard-fast,https://raw.githubusercontent.com/Hannes221/rq-dashboard-fast/main/app.py,python,19,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hidingbar,https://raw.githubusercontent.com/curseforge-mirror/hidingbar/master/repo_setup.py,python,58,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
prysmax,https://raw.githubusercontent.com/Lawxsz/prysmax/main/setup.py,python,93,"{'line-too-long': 7, 'bad-whitespace': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0
CleanroomMMC,https://raw.githubusercontent.com/CleanroomMC/CleanroomMMC/main/Util.py,python,75,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_lnp_bot,https://raw.githubusercontent.com/michiexile/p_lnp_bot/main/plnp.py,python,20,"{'line-too-long': 1, 'bad-continuation': 1, 'missing-docstring': 1, 'import-error': 1}",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ingestion-csvs,https://raw.githubusercontent.com/oceanobservatories/ingestion-csvs/master/find_raw_cabled_files.py,python,109,"{'""Invalid Reference Designator Format""': 1, 'syntax-error': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
flybody,https://raw.githubusercontent.com/TuragaLab/flybody/main/setup.py,python,63,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sentry-kafka-schemas,https://raw.githubusercontent.com/getsentry/sentry-kafka-schemas/main/setup.py,python,25,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
programming-calculus-1,https://raw.githubusercontent.com/LucasRodriguesEstorckPinto/programming-calculus-1/main/versao_2_codigo_fonte.py,python,93,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proyecto_descuentos2,https://raw.githubusercontent.com/pablomarello/proyecto_descuentos2/main/manage.py,python,23,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RiC,https://raw.githubusercontent.com/YangRui2015/RiC/main/plot.py,python,104,"{'trailing-whitespace': 5, 'line-too-long': 8, '(points[np.where(remaining_index': 1, 'bad-whitespace': 3, 'trailing-newlines': 1, 'missing-docstring': 1}",0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,3,1
mediawiki-extensions,https://raw.githubusercontent.com/wikimedia/mediawiki-extensions/master/sync-with-gerrit.py,python,111,"{'project': 1, 'bad-continuation': 2, 'missing-docstring': 1}",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
repository.bossanova808,https://raw.githubusercontent.com/bossanova808/repository.bossanova808/main/build.py,python,133,"{'line-too-long': 11, 'trailing-newlines': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0
uv-pre-commit,https://raw.githubusercontent.com/astral-sh/uv-pre-commit/main/mirror.py,python,76,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iptv-cutter,https://raw.githubusercontent.com/dp247/iptv-cutter/master/main.py,python,375,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyramid_swagger,https://raw.githubusercontent.com/Yelp/pyramid_swagger/master/setup.py,python,52,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
louis030195,https://raw.githubusercontent.com/louis030195/louis030195/main/lastfm.py,python,94,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ape-etherscan,https://raw.githubusercontent.com/ApeWorX/ape-etherscan/main/setup.py,python,111,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking_college,https://raw.githubusercontent.com/lee-youngseo/cooking_college/main/server.py,python,645,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GitHubLineCounter,https://raw.githubusercontent.com/yasserbdj96/GitHubLineCounter/main/main.py,python,310,"{'trailing-whitespace': 5, 'GITHUB_ACCESS_TOKEN,GITHUB_USERNAME': 1, 'bad-whitespace': 14, 'line-too-long': 21, 'f""badges/{d[\'Language\']}"",f""{d[\'Language\']}_files.svg"", files': 1, 'f""badges/{d[\'Language\']}"",f""{d[\'Language\']}_total_lines.svg"", total_lines': 1, 'f""badges/{d[\'Language\']}"",f""{d[\'Language\']}_code_lines.svg"", code_lines': 1, 'f""badges/{d[\'Language\']}"",f""{d[\'Language\']}_comment_lines.svg"", comment_lines': 1, 'f""badges/{d[\'Language\']}"",f""{d[\'Language\']}_empty_lines.svg"", empty_lines': 1, 'f""badges"",f""total_files.svg"", total_files': 1, 'f""badges"",f""total_lines.svg"", total_total_lines': 1, 'f""badges"",f""total_code_lines.svg"", total_code_lines': 1, 'f""badges"",f""total_comment_lines.svg"", total_comment_lines': 1, 'f""badges"",f""total_empty_lines.svg"", total_empty_lines': 1, 'text': 1, 'main(': 1, 'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,14,15
farris-bot,https://raw.githubusercontent.com/illustrating-mathematics/farris-bot/master/gallery.py,python,13,"{""os.path.join(imgdir, 'index.html'"": 1, 'bad-whitespace': 1, 'trailing-newlines': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
platform-engineering-demo,https://raw.githubusercontent.com/dynatrace-perfclinics/platform-engineering-demo/main/utils.py,python,382,"{'fixme': 1, 'bad-whitespace': 6, 'line-too-long': 20, 'trailing-whitespace': 4, 'bad-continuation': 4, 'bad-indentation': 2, 'missing-docstring': 1}",0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,3
uk-notam-archive,https://raw.githubusercontent.com/Jonty/uk-notam-archive/main/download_briefing_sheets.py,python,41,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TGB_Baselines,https://raw.githubusercontent.com/fpour/TGB_Baselines/main/evaluate_models_utils.py,python,390,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
details,https://raw.githubusercontent.com/curseforge-mirror/details/master/repo_setup.py,python,58,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Auto-GPT-zh,https://raw.githubusercontent.com/RiseInRose/Auto-GPT-zh/main/main.py,python,4,"{'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
czech-weather,https://raw.githubusercontent.com/filiptronicek/czech-weather/master/main.py,python,74,"{'line-too-long': 3, 'trailing-whitespace': 1, 'bad-indentation': 3, 'csvArr': 1, 'bad-whitespace': 1, 'trailing-newlines': 1, 'missing-docstring': 1, 'import-error': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,4
rafnixg,https://raw.githubusercontent.com/rafnixg/rafnixg/master/app.py,python,34,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overview,https://raw.githubusercontent.com/its-a-feature/overview/main/get_repo_data.py,python,273,{'line-too-long': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nlp-arxiv-daily,https://raw.githubusercontent.com/monologg/nlp-arxiv-daily/master/daily_arxiv.py,python,420,"{'fixme': 7, 'line-too-long': 9, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7
twitch-emotes-v2,https://raw.githubusercontent.com/curseforge-mirror/twitch-emotes-v2/master/repo_setup.py,python,58,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
stab_debuginfo_utils,https://raw.githubusercontent.com/uyjulian/stab_debuginfo_utils/main/json2pcode.py,python,801,"{'fixme': 2, 'mixed-indentation': 464, 'bad-continuation': 120, 'line-too-long': 13, 'pr_dispatch(info[""type""],  ""*"" if name == None else ""*"" + name': 1, 'bad-whitespace': 1, 'superfluous-parens': 2, 'trailing-newlines': 1, 'missing-docstring': 2, 'invalid-name': 2}",0,0,0,0,0,0,120,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,1,469
rss-news,https://raw.githubusercontent.com/osmosis-labs/rss-news/main/generate_rss.py,python,83,"{'missing-docstring': 1, 'import-error': 2}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
stargaze-nft-snapshots,https://raw.githubusercontent.com/Reecepbcups/stargaze-nft-snapshots/main/main.py,python,194,"{'fixme': 1, 'line-too-long': 3}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
splashcat,https://raw.githubusercontent.com/splashcat-ink/splashcat/main/manage.py,python,23,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
